Target,TAS,Rank,CumProb,AUC,n_binding,p.value
AAK1,1 (<100 nM),1,0,0.8132911392405063,15,0.14137272996638733
AAK1,1 (<100 nM),10,0.25,0.8132911392405063,15,0.14137272996638733
AAK1,1 (<100 nM),23,0.5,0.8132911392405063,15,0.14137272996638733
AAK1,1 (<100 nM),29,0.75,0.8132911392405063,15,0.14137272996638733
AAK1,1 (<100 nM),68,1,0.8132911392405063,15,0.14137272996638733
AAK1,1 (<100 nM),80,1,0.8132911392405063,15,0.14137272996638733
AAK1,2 (100-999 nM),1,0.25,0.9683544303797469,15,0.14137272996638733
AAK1,2 (100-999 nM),5,0.5,0.9683544303797469,15,0.14137272996638733
AAK1,2 (100-999 nM),7,0.75,0.9683544303797469,15,0.14137272996638733
AAK1,2 (100-999 nM),67,1,0.9683544303797469,15,0.14137272996638733
AAK1,2 (100-999 nM),80,1,0.9683544303797469,15,0.14137272996638733
AAK1,3 (1-10 uM),1,0,0.5027124773960217,15,0.14137272996638733
AAK1,3 (1-10 uM),9,0.14285714285714285,0.5027124773960217,15,0.14137272996638733
AAK1,3 (1-10 uM),38,0.2857142857142857,0.5027124773960217,15,0.14137272996638733
AAK1,3 (1-10 uM),53,0.42857142857142855,0.5027124773960217,15,0.14137272996638733
AAK1,3 (1-10 uM),54,0.5714285714285714,0.5027124773960217,15,0.14137272996638733
AAK1,3 (1-10 uM),57,0.7142857142857143,0.5027124773960217,15,0.14137272996638733
AAK1,3 (1-10 uM),70,0.8571428571428571,0.5027124773960217,15,0.14137272996638733
AAK1,3 (1-10 uM),72,1,0.5027124773960217,15,0.14137272996638733
AAK1,3 (1-10 uM),80,1,0.5027124773960217,15,0.14137272996638733
AAK1,10 (>10 uM),1,0,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),3,0.045454545454545456,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),8,0.09090909090909091,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),11,0.13636363636363635,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),12,0.18181818181818182,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),13,0.22727272727272727,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),14,0.2727272727272727,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),20,0.3181818181818182,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),24,0.36363636363636365,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),33,0.4090909090909091,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),37,0.45454545454545453,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),44,0.5,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),45,0.5454545454545454,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),46,0.5909090909090909,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),51,0.6363636363636364,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),55,0.6818181818181818,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),56,0.7272727272727273,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),58,0.7727272727272727,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),60,0.8181818181818182,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),61,0.8636363636363636,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),65,0.9090909090909091,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),71,0.9545454545454546,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),75,1,0.5592635212888377,15,0.14137272996638733
AAK1,10 (>10 uM),80,1,0.5592635212888377,15,0.14137272996638733
ABL1,1 (<100 nM),1,0.0625,0.5791139240506329,46,0.42391297572543496
ABL1,1 (<100 nM),5,0.125,0.5791139240506329,46,0.42391297572543496
ABL1,1 (<100 nM),10,0.1875,0.5791139240506329,46,0.42391297572543496
ABL1,1 (<100 nM),11,0.25,0.5791139240506329,46,0.42391297572543496
ABL1,1 (<100 nM),23,0.3125,0.5791139240506329,46,0.42391297572543496
